id,total_incoming_val,total_outgoing_val,trans_count,is_fraud_node,node_type,avg_trans_val
C566605912,0.0,169903.6,1.0,0,User,169903.6
C747474142,0.0,1489646.69,1.0,0,User,1489646.69
C1879896914,0.0,162189.12,1.0,0,User,162189.12
C1632725621,0.0,435115.32,1.0,0,User,435115.32
C1063225525,0.0,272997.35,1.0,1,Mule,272997.35
C1033984371,0.0,90327.45,1.0,0,User,90327.45
C9298331671,297287.41912187234,284681.0985002395,2.0,1,Mule,290984.2588110559
C884699340,2323696.87,0.0,14.0,1,Mule,165978.34785714286
C1696866494,0.0,42120.21,1.0,0,User,42120.21
C593822721,10406490.1,0.0,2.0,1,Mule,5203245.05
C1095363005,0.0,226879.77,1.0,0,User,226879.77
C444251661,0.0,206658.74,1.0,0,User,206658.74
C1064959202,0.0,377035.38,1.0,0,User,377035.38
C1158190993,0.0,141354.28,1.0,0,User,141354.28
C782997970,0.0,42048.94,1.0,0,User,42048.94
C1138077225,7618.49,0.0,1.0,1,Mule,7618.49
C590161432,0.0,129051.78,1.0,0,User,129051.78
C2106023882,0.0,231996.1,1.0,0,User,231996.1
C1200057595,0.0,295541.26,1.0,0,User,295541.26
C1767277816,0.0,827921.27,1.0,1,Mule,827921.27
C1831118200,237567.35,0.0,1.0,1,Mule,237567.35
C832410046,0.0,327542.05,1.0,0,User,327542.05
C670148537,0.0,399592.53,1.0,0,User,399592.53
C48152403,0.0,298407.14,1.0,0,User,298407.14
C2019575185,0.0,4422701.34,1.0,0,User,4422701.34
C1480756205,2107347.92,0.0,10.0,1,Mule,210734.792
C551826190,0.0,603785.67,1.0,0,User,603785.67
C1853789265,11166256.12,0.0,7.0,1,Mule,1595179.4457142856
C637859362,0.0,92869.02,1.0,0,User,92869.02
C1720797516,0.0,111955.54,1.0,0,User,111955.54
C629456497,0.0,124018.44,1.0,0,User,124018.44
C1654331936,0.0,219932.58,1.0,0,User,219932.58
C931847957,0.0,145851.26,1.0,0,User,145851.26
C1849552148,0.0,254868.09,1.0,0,User,254868.09
C1434921646,0.0,226778.08,1.0,0,User,226778.08
C1815959102,0.0,6749.18,1.0,1,Mule,6749.18
C46971585,0.0,309507.19,1.0,0,User,309507.19
C2114453314,0.0,2326251.51,1.0,1,Mule,2326251.51
C10006175,0.0,196383.11,1.0,0,User,196383.11
C1436672259,0.0,133943.8,1.0,0,User,133943.8
C644812206,0.0,207542.07,1.0,0,User,207542.07
C1669528963,0.0,256187.21,1.0,0,User,256187.21
C1564153767,0.0,114962.78,1.0,0,User,114962.78
C376142967,0.0,267866.77,1.0,0,User,267866.77
C1878703147,0.0,70185.98,1.0,0,User,70185.98
C1204704461,0.0,42627.68,1.0,0,User,42627.68
C1941737481,0.0,162286.19,1.0,0,User,162286.19
C1367819868,0.0,16974.43,1.0,0,User,16974.43
C403171397,0.0,94034.31,1.0,0,User,94034.31
C1951884199,389931.8517218665,385733.2694539696,2.0,1,Mule,387832.56058791804
C685984728,0.0,113548.13,1.0,0,User,113548.13
C925019298,0.0,274526.08,1.0,0,User,274526.08
C897190163,0.0,2600970.32,1.0,1,Mule,2600970.32
C1127221987,0.0,123715.43,1.0,0,User,123715.43
C1266999927,0.0,4158.5,1.0,0,User,4158.5
C1696989737,0.0,97391.54,1.0,0,User,97391.54
C1544250354,0.0,46981.52,1.0,0,User,46981.52
C175684535,0.0,313936.67,1.0,1,Mule,313936.67
C1582825770,481.9,0.0,1.0,1,Mule,481.9
C2091263161,0.0,1627389.26,1.0,1,Mule,1627389.26
C177666968,0.0,82742.34,1.0,0,User,82742.34
C82467310,0.0,105307.16,1.0,0,User,105307.16
C603653180,99165.12,0.0,1.0,1,Mule,99165.12
C3043640447,675748.1513563136,668833.6000225372,2.0,1,Mule,672290.8756894254
C1741710059,0.0,293981.49,1.0,0,User,293981.49
C282766223,0.0,34487.28,1.0,0,User,34487.28
C1569952970,0.0,125082.75,1.0,0,User,125082.75
C1907828864,0.0,12838.14,1.0,0,User,12838.14
C1130756141,0.0,124905.53,1.0,0,User,124905.53
C1546989189,0.0,300953.86,1.0,0,User,300953.86
C142358719,0.0,135188.79,1.0,0,User,135188.79
C375961798,735329.1,0.0,1.0,1,Mule,735329.1
C1930661398,0.0,808590.67,1.0,0,User,808590.67
C361194478,31374.02,0.0,1.0,1,Mule,31374.02
C1085875952,0.0,95220.36,1.0,0,User,95220.36
C1440901488,0.0,2093951.47,1.0,1,Mule,2093951.47
C1843498767,0.0,21596.82,1.0,0,User,21596.82
C1242475440,0.0,260632.12,1.0,0,User,260632.12
C692125556,0.0,160584.93,1.0,0,User,160584.93
C1911925355,0.0,117268.49,1.0,0,User,117268.49
C424417978,0.0,137605.04,1.0,1,Mule,137605.04
C1077637221,0.0,295134.0,1.0,0,User,295134.0
C1141651731,0.0,628626.86,1.0,0,User,628626.86
C1722671661,0.0,77715.01,1.0,0,User,77715.01
C1571546632,6910956.9,0.0,17.0,1,Mule,406526.87647058826
C755223579,5532769.16,0.0,12.0,1,Mule,461064.0966666667
C518968600,0.0,219616.01,1.0,0,User,219616.01
C2026655073,0.0,432254.84,1.0,1,Mule,432254.84
C792216195,0.0,215826.21,1.0,0,User,215826.21
C390145159,0.0,248605.65,1.0,0,User,248605.65
C1153980090,0.0,85715.64,1.0,0,User,85715.64
C1906091264,0.0,58973.75,1.0,0,User,58973.75
C217880413,0.0,59613.81,1.0,0,User,59613.81
C306693864,0.0,238119.0,1.0,0,User,238119.0
C1474711983,0.0,248056.41,1.0,1,Mule,248056.41
C862011708,0.0,442519.89,1.0,0,User,442519.89
C2019839316,0.0,62600.55,1.0,0,User,62600.55
C364970868,782948.14,0.0,4.0,1,Mule,195737.035
C133385139,4683776.1899999995,0.0,19.0,1,Mule,246514.53631578945
C598250470,0.0,184591.26,1.0,0,User,184591.26
C1686905633,0.0,21729.0,1.0,1,Mule,21729.0
C1836246597,0.0,1122508.34,1.0,1,Mule,1122508.34
C45739227,0.0,269055.31,1.0,0,User,269055.31
C526626217,0.0,29174.8,1.0,1,Mule,29174.8
C767416250,0.0,119084.25,1.0,0,User,119084.25
C920320326,171572.06,0.0,1.0,1,Mule,171572.06
C1725332628,0.0,307588.51,1.0,0,User,307588.51
C1863112826,0.0,294333.1,1.0,0,User,294333.1
C1146681976,0.0,133091.56,1.0,0,User,133091.56
C759396393,0.0,2656973.04,1.0,1,Mule,2656973.04
C1111342822,0.0,225127.62,1.0,0,User,225127.62
C2036341592,0.0,210950.95,1.0,0,User,210950.95
C1579163883,0.0,140953.45,1.0,0,User,140953.45
C598363576,0.0,69420.68,1.0,0,User,69420.68
C54440148,0.0,14237.75,1.0,0,User,14237.75
C101405550,0.0,23527.24,1.0,0,User,23527.24
C393112498,0.0,5347.18,1.0,0,User,5347.18
C961585962,0.0,3567795.25,1.0,1,Mule,3567795.25
C525941534,0.0,102256.57,1.0,1,Mule,102256.57
C1364689982,97329.51,0.0,3.0,1,Mule,32443.17
C1108664037,0.0,93833.1,1.0,0,User,93833.1
C1422085876,0.0,36297.01,1.0,0,User,36297.01
C1906094353,0.0,136009.84,1.0,0,User,136009.84
C1284723324,0.0,165933.95,1.0,0,User,165933.95
C1771628551,0.0,37163.84,1.0,0,User,37163.84
C1909254057,0.0,358471.26,1.0,0,User,358471.26
C552296205,1337711.92,0.0,6.0,1,Mule,222951.98666666666
C1585492145,0.0,44158.93,1.0,0,User,44158.93
C36298366,0.0,5906.01,1.0,0,User,5906.01
C1196013500,0.0,382108.88,1.0,0,User,382108.88
C1921891297,0.0,331277.66,1.0,0,User,331277.66
C957284656,0.0,17458.45,1.0,0,User,17458.45
C2108161925,0.0,122728.99,1.0,0,User,122728.99
C899436705,0.0,28873.56,1.0,0,User,28873.56
C1950332475,0.0,300022.9,1.0,0,User,300022.9
C1408894524,4283.0,0.0,1.0,0,User,4283.0
C1640839848,0.0,320209.08,1.0,0,User,320209.08
C237848591,0.0,139236.83,1.0,0,User,139236.83
C1682379076,0.0,97737.93,1.0,0,User,97737.93
C440988194,168303.36,0.0,1.0,1,Mule,168303.36
C1885568923,0.0,93670.53,1.0,0,User,93670.53
C1636902866,0.0,157716.6,1.0,0,User,157716.6
C1635073538,0.0,758848.47,1.0,1,Mule,758848.47
C2102374682,0.0,1050635.77,1.0,1,Mule,1050635.77
C37995412,0.0,187134.52,1.0,0,User,187134.52
C1066516004,0.0,10526.4,1.0,0,User,10526.4
C994383860,0.0,38015.63,1.0,0,User,38015.63
C48363551,282500.69,0.0,1.0,1,Mule,282500.69
C1898576774,0.0,428570.89,1.0,0,User,428570.89
C1613024092,0.0,244153.94,1.0,1,Mule,244153.94
C137166343,0.0,187359.29,1.0,0,User,187359.29
C1509594895,0.0,81212.6,1.0,0,User,81212.6
C293213310,0.0,248684.64,1.0,0,User,248684.64
C1497227717,0.0,305930.31,1.0,0,User,305930.31
C1246176741,88099.88,0.0,1.0,1,Mule,88099.88
C5761606435,307900.10727530863,304523.89316010743,2.0,1,Mule,306212.00021770806
C128537190,0.0,480688.3,1.0,0,User,480688.3
C1907567144,0.0,412211.45,1.0,0,User,412211.45
C1039069519,0.0,49615.25,1.0,0,User,49615.25
C1746082294,0.0,467080.97,1.0,0,User,467080.97
C1447926420,0.0,202046.09,1.0,0,User,202046.09
C2007934535,0.0,47324.29,1.0,0,User,47324.29
C1652699189,571163.03,0.0,1.0,1,Mule,571163.03
C46140680,0.0,4339822.23,1.0,1,Mule,4339822.23
C2058930546,0.0,101802.15,1.0,0,User,101802.15
C1060537436,0.0,178368.29,1.0,0,User,178368.29
C115698744,0.0,241164.48,1.0,0,User,241164.48
C1118836054,0.0,190360.34,1.0,0,User,190360.34
C1084116804,0.0,474302.98,1.0,0,User,474302.98
C149508679,0.0,300570.88,1.0,0,User,300570.88
C1377785932,0.0,212502.69,1.0,0,User,212502.69
C612320896,0.0,49427.71,1.0,0,User,49427.71
C1776178192,2245785.95,0.0,11.0,1,Mule,204162.3590909091
C65142069,0.0,345977.31,1.0,0,User,345977.31
C1559365932,0.0,285924.72,1.0,0,User,285924.72
C1330873602,0.0,9465.81,1.0,0,User,9465.81
C1216602855,0.0,205038.47,1.0,0,User,205038.47
C1181544935,0.0,127249.48,1.0,0,User,127249.48
C1266929646,144283.42,0.0,1.0,1,Mule,144283.42
C1763521508,0.0,116789.17,1.0,0,User,116789.17
C100302289,0.0,176662.1,1.0,0,User,176662.1
C1325087481,0.0,194788.65,1.0,0,User,194788.65
C1724490315,0.0,87805.99,1.0,0,User,87805.99
C1038764620,0.0,127091.33,1.0,1,Mule,127091.33
C2110707498,0.0,98611.56,1.0,0,User,98611.56
C1581407467,4276974.3,0.0,20.0,1,Mule,213848.715
C1519933883,0.0,188675.71,1.0,0,User,188675.71
C451300467,0.0,216435.38,1.0,0,User,216435.38
C860864845,0.0,222553.44,1.0,0,User,222553.44
